ProductID;MaterialID;Count
63;24;20
71;6;1
37;6;4
58;24;18
94;6;3
1;24;9
2;23;15
63;25;3
11;39;12
19;25;20
94;42;4
47;33;4
52;39;12
28;25;8
1;25;4
59;42;3
57;42;4
67;42;6
70;2;1
70;8;1
79;38;15
44;13;3
52;27;6
11;40;15
66;13;1
18;13;6
10;2;16
92;38;19
33;21;5
67;27;6
96;27;14
16;40;8
99;2;3
34;40;6
99;36;2
55;14;9
76;13;10
90;40;15
47;40;14
41;13;3
68;8;2
19;21;4
24;14;11
33;10;4
16;22;15
64;16;1
70;16;16
92;16;11
78;16;1
94;18;20
10;18;18
40;18;18
72;18;6
47;18;3
11;46;11
58;15;19
66;12;18
77;46;19
41;17;3
76;46;19
24;12;6
27;46;7
47;12;14
64;34;14
18;34;5
32;29;15
92;5;13
67;5;10
27;5;5
72;30;20
79;41;8
11;48;19
1;3;13
66;48;18
95;47;8
40;32;20
41;32;4
41;49;14
19;7;8
77;35;10
47;28;5
63;35;1
33;28;10
18;7;19
66;32;16
52;28;17
100;44;8
60;37;17
76;37;10
52;44;11
49;43;4
34;26;16
71;26;11
71;11;4
66;44;12
92;44;16
95;11;3
32;43;4
63;37;10
72;44;6
